Index,LectureNote_03,Compare1,Compare2,Difference_1,Difference_2
153,0.464337468,0.399109215,0.173267305,0.065228254,0.291070163
154,0.287231654,0.306676120,0.130852669,0.019444466,0.156378984
155,0.249270380,0.580904722,0.221407637,0.331634343,0.027862743
156,0.264960378,0.247092605,0.270363688,0.017867774,0.005403310
157,0.234639704,0.101860948,0.567661822,0.132778764,0.333022118
158,0.494451940,0.096184902,0.443121225,0.398267031,0.051330715
159,0.393099844,0.209620923,0.349758387,0.183478922,0.043341458
160,0.243424565,0.242841825,0.419766337,0.000582740,0.176341772
161,0.237123057,0.474990904,0.116649546,0.237867847,0.120473512
162,0.258950055,0.571457386,0.170813859,0.312507331,0.088136196
163,0.172711313,0.229932070,0.127165660,0.057220757,0.045545653
164,0.272876799,0.114538185,0.238515511,0.158338606,0.034361288
165,0.248069644,0.156087965,0.295917004,0.091981679,0.047847360
166,0.472840071,0.108266920,0.634985924,0.364573151,0.162145853
167,0.515539765,0.094860248,0.519363046,0.420679510,0.003823280
168,0.362789929,0.268453717,0.288888723,0.094336212,0.073901206
169,0.228377923,0.270537883,0.203565106,0.042159960,0.024812818
170,0.306567222,0.645838141,0.111150615,0.339270920,0.195416600
171,0.103281267,0.541069031,0.128116146,0.437787771,0.024834879
172,0.126387864,0.282182723,0.175034121,0.155794859,0.048646256
173,0.113976881,0.158610120,0.370360792,0.044633240,0.256383896
174,0.127454385,0.160168007,0.350576401,0.032713622,0.223122016
175,0.691530704,0.107317440,0.431804061,0.584213257,0.259726644
176,0.633583069,0.116971225,0.431935817,0.516611814,0.201647252
177,0.163692832,0.357600421,0.474646091,0.193907589,0.310953259
178,0.087135807,0.197555035,0.156477645,0.110419229,0.069341838
179,0.173474640,0.620242715,0.264728010,0.446768075,0.091253370
180,0.250373065,0.480418384,0.320684254,0.230045319,0.070311189
181,0.054433517,0.289905936,0.260920137,0.235472411,0.206486613
182,0.079854615,0.316615313,0.288398087,0.236760706,0.208543479
183,0.089461453,0.241664633,0.302885503,0.152203172,0.213424057
184,0.573107958,0.242648810,0.339444578,0.330459148,0.233663380
185,0.730861187,0.262309402,0.232032090,0.468551785,0.498829097
186,0.043253444,0.383096695,0.421946436,0.339843243,0.378692985
187,0.092891417,0.234265670,0.361951500,0.141374260,0.269060075
188,0.216471016,0.444046795,0.419595033,0.227575779,0.203124017
189,0.626332879,0.582348645,0.251451880,0.043984234,0.374880999
190,0.236278817,0.243481845,0.168547809,0.007203028,0.067731008
191,0.174183130,0.189937353,0.254434794,0.015754223,0.080251664
192,0.112793386,0.181042835,0.407732427,0.068249449,0.294939041
193,0.137444913,0.190629810,0.529818058,0.053184897,0.392373145
194,0.135605648,0.196739942,0.419945061,0.061134294,0.284339428
195,0.140542045,0.246556357,0.374388248,0.106014311,0.233846202
196,0.100447796,0.407649487,0.167853057,0.307201684,0.067405261
197,0.664601803,0.480332613,0.227988034,0.184269190,0.436613768
198,0.168257535,0.362970024,0.319923729,0.194712490,0.151666194
199,0.562295735,0.210862115,0.333707422,0.351433635,0.228588313
200,0.670822144,0.308861822,0.236868158,0.361960322,0.433954000
201,0.300500661,0.279017299,0.255438328,0.021483362,0.045062333
202,0.258029372,0.232042834,0.253978372,0.025986537,0.004051000
203,0.066549219,0.254046589,0.372923374,0.187497377,0.306374162
204,0.118352219,0.329233527,0.366634190,0.210881308,0.248281971
205,0.095353782,0.328224957,0.321408898,0.232871175,0.226055115
206,0.145266369,0.562168896,0.472897291,0.416902542,0.327630937
207,0.549434662,0.710878491,0.183469862,0.161443830,0.365964800
208,0.530005872,0.228449509,0.269531965,0.301556349,0.260473907
209,0.511088967,0.358992636,0.201914355,0.152096331,0.309174597
210,0.287527919,0.229537308,0.246820360,0.057990611,0.040707558
211,0.205375642,0.098488845,0.391067505,0.106886797,0.185691863
212,0.097246289,0.101374686,0.489966035,0.004128397,0.392719746
213,0.095799789,0.132892340,0.371676892,0.037092552,0.275877118
