Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
93,0.108646,0.134678,0.161885,0.359696,0.420263,0.449586,0.399694,0.464464,0.245436
94,0.068227,0.112324,0.215412,0.322675,0.538348,0.570267,0.404578,0.157852,0.169067
95,0.048966,0.102680,0.202331,0.302981,0.743492,0.416953,0.305801,0.161314,0.090319
96,0.161732,0.104925,0.178285,0.260971,0.764314,0.245082,0.286850,0.263868,0.258440
97,0.199924,0.077920,0.125360,0.137914,0.534140,0.574023,0.328572,0.357025,0.262659
98,0.594306,0.076848,0.070710,0.111754,0.276776,0.466830,0.278900,0.275488,0.418560
99,0.286519,0.115955,0.181771,0.357507,0.527383,0.374236,0.215936,0.366783,0.379824
100,0.081658,0.149576,0.199516,0.332759,0.729245,0.384131,0.149245,0.298678,0.172007
101,0.031592,0.126666,0.182765,0.251315,0.844904,0.327004,0.164738,0.140618,0.136707
102,0.048536,0.083978,0.139443,0.159075,0.885688,0.247877,0.225792,0.207488,0.076960
103,0.150115,0.105472,0.182062,0.159208,0.846146,0.126327,0.161159,0.282238,0.265132
104,0.172472,0.095570,0.133877,0.119040,0.775494,0.232966,0.184162,0.342644,0.349345
105,0.465658,0.065132,0.084302,0.086311,0.680026,0.293355,0.240294,0.243699,0.314230
