Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
72,0.494209230,0.213086352,0.215668723,0.184261888,0.118246049,0.170659542,0.188161343,0.443676263,0.595420778
73,0.478507489,0.289883673,0.245775685,0.183850825,0.144892991,0.173278302,0.240550607,0.511997819,0.470919847
74,0.483452410,0.359306544,0.325415611,0.187330022,0.174446002,0.149821937,0.241088435,0.422609746,0.454515278
75,0.443623006,0.324321061,0.287360609,0.148085743,0.145074874,0.154713497,0.120477609,0.377092451,0.625949264
76,0.430613071,0.255246967,0.292066365,0.174144521,0.149143308,0.298909664,0.262480110,0.371018022,0.561828494
77,0.456386447,0.300307900,0.282447338,0.163614407,0.170922115,0.340044111,0.406775385,0.383514643,0.370926470
78,0.425111026,0.160816997,0.114268214,0.118060619,0.122687012,0.138494745,0.153565735,0.308712900,0.783137262
79,0.361452311,0.193511173,0.235448420,0.183208257,0.147984877,0.187729716,0.168771625,0.393457681,0.708850920
80,0.392326266,0.217786297,0.213945732,0.177976936,0.113523953,0.158476830,0.265740365,0.494274765,0.606854618
81,0.516026616,0.331107229,0.261265814,0.211811870,0.195033744,0.254409790,0.331608295,0.416499764,0.353216529
82,0.475313187,0.314144194,0.303034425,0.176418170,0.228287831,0.279825270,0.182838187,0.444050878,0.437503070
83,0.495954394,0.261634022,0.225910038,0.159318775,0.131975681,0.276484817,0.221551925,0.414526790,0.542567790
84,0.535373390,0.341520429,0.203552648,0.145516157,0.122170210,0.281388193,0.276975602,0.386867076,0.462216347
85,0.405248553,0.220673725,0.209718555,0.217802033,0.162350386,0.111852191,0.122518487,0.346887946,0.722112536
86,0.454779714,0.241902009,0.218104199,0.254630506,0.166153565,0.186504185,0.174041763,0.400520474,0.607580900
87,0.511857092,0.333629280,0.158179790,0.107487530,0.073687211,0.185962245,0.231215656,0.485020578,0.511274934
88,0.442199081,0.421167463,0.186877251,0.265619814,0.102302790,0.253115892,0.296503365,0.504535258,0.323415190
89,0.410135984,0.285327941,0.219817564,0.264844924,0.202476963,0.257464319,0.242505983,0.459993720,0.504207909
90,0.608330131,0.246928334,0.124183558,0.094939694,0.129619598,0.218977630,0.226963311,0.381675035,0.531587243
91,0.525593162,0.214423165,0.114911698,0.076028042,0.054472256,0.168343499,0.253431946,0.395792931,0.637654364
92,0.469304800,0.225093141,0.295387834,0.233406514,0.178698897,0.124672174,0.130728781,0.345016927,0.635413527
93,0.515839994,0.240162507,0.253122538,0.270859271,0.154090092,0.141367063,0.302455902,0.441145211,0.457141519
94,0.538095355,0.332715601,0.137737215,0.135018483,0.077392638,0.158127412,0.314973742,0.477270067,0.452286512
95,0.544315934,0.376251727,0.171368256,0.204443648,0.076952130,0.161347032,0.188499540,0.450121641,0.469993949
96,0.546223044,0.326374620,0.184882015,0.270292342,0.151510030,0.164803937,0.254876673,0.365366668,0.489193290
97,0.505728602,0.315154493,0.210695699,0.156096593,0.143547192,0.272433549,0.368422329,0.470559537,0.352378041
98,0.457713664,0.178256318,0.180066571,0.120079979,0.082451873,0.233009696,0.333932996,0.451233596,0.579365849
99,0.392449588,0.166666955,0.205894232,0.110566713,0.248021796,0.183588937,0.247697756,0.311866611,0.713970184
100,0.442760259,0.246172681,0.270898938,0.287564725,0.254059196,0.270577520,0.419463605,0.323575109,0.410942554
101,0.414921075,0.303599447,0.140449077,0.325120419,0.164402902,0.216770530,0.310753465,0.491617769,0.444932699
102,0.562886238,0.256770432,0.101128899,0.240027726,0.151325136,0.173069850,0.170618832,0.427398115,0.533624768
103,0.642010331,0.276399851,0.146518096,0.307799011,0.265909016,0.163280085,0.227593452,0.249402627,0.428776860
104,0.401070654,0.352404565,0.287930548,0.273017317,0.226138383,0.271853358,0.332783252,0.430591583,0.369207621
105,0.493671983,0.289687604,0.267464101,0.157524645,0.240458056,0.305231631,0.292563468,0.378366083,0.443031818
