Block,Cell1_0-20,Cell1_20-40,Cell1_40-60,Cell1_60-80,Cell1_80-100,Cell1_100-120,Cell1_120-140,Cell1_140-160,Cell1_160-180,Cell2_0-20,Cell2_20-40,Cell2_40-60,Cell2_60-80,Cell2_80-100,Cell2_100-120,Cell2_120-140,Cell2_140-160,Cell2_160-180,Cell3_0-20,Cell3_20-40,Cell3_40-60,Cell3_60-80,Cell3_80-100,Cell3_100-120,Cell3_120-140,Cell3_140-160,Cell3_160-180,Cell4_0-20,Cell4_20-40,Cell4_40-60,Cell4_60-80,Cell4_80-100,Cell4_100-120,Cell4_120-140,Cell4_140-160,Cell4_160-180
11,0.025748,0.078133,0.086948,0.079310,0.103978,0.116695,0.077903,0.058323,0.025390,0.027459,0.025068,0.064552,0.055120,0.062130,0.148695,0.237827,0.040038,0.088161,0.010184,0.080002,0.043290,0.080761,0.193772,0.494981,0.304811,0.113317,0.089209,0.139127,0.101435,0.148869,0.220497,0.026325,0.466521,0.256318,0.179170,0.128914
12,0.028311,0.025846,0.066554,0.056830,0.064056,0.153307,0.245203,0.041280,0.090895,0.075531,0.083213,0.127196,0.058890,0.004894,0.057677,0.080861,0.096442,0.055665,0.143442,0.104581,0.153487,0.227336,0.027141,0.480990,0.264268,0.184727,0.132912,0.152267,0.209244,0.148058,0.135183,0.133493,0.314448,0.185193,0.100642,0.331444
13,0.104643,0.115287,0.176222,0.081588,0.006780,0.079908,0.112028,0.133615,0.077121,0.044188,0.085365,0.163321,0.163598,0.176662,0.081537,0.072394,0.087530,0.013314,0.210957,0.289894,0.205125,0.187287,0.184946,0.435648,0.256574,0.139433,0.459195,0.040467,0.031471,0.080867,0.147334,0.114013,0.040349,0.024693,0.080532,0.056870
14,0.041886,0.080920,0.154816,0.155078,0.167462,0.077291,0.068624,0.082971,0.012621,0.642989,0.048758,0.064089,0.040268,0.057533,0.029333,0.094206,0.062824,0.240862,0.038359,0.029832,0.076655,0.139661,0.108075,0.038248,0.023407,0.076338,0.053908,0.437672,0.082921,0.127708,0.079642,0.146307,0.108699,0.002653,0.021023,0.310548
15,0.656720,0.027937,0.026111,0.022757,0.062233,0.052966,0.027149,0.059154,0.252786,0.003603,0.004755,0.001424,0.001721,0.008323,0.166835,0.200986,0.112084,0.002357,0.434272,0.000712,0.007246,0.009992,0.014497,0.059982,0.076821,0.014996,0.436904,0.016929,0.021563,0.049225,0.051066,0.114226,0.008621,0.013934,0.047175,0.011268
16,0.003993,0.005270,0.001578,0.001907,0.009223,0.184875,0.222718,0.124204,0.002612,0.025491,0.062824,0.017478,0.009964,0.072994,0.727981,0.199497,0.078255,0.046096,0.018760,0.023894,0.054547,0.056588,0.126577,0.009553,0.015441,0.052276,0.012486,0.007843,0.116278,0.484980,0.137714,0.112943,0.060791,0.035272,0.002463,0.022821
17,0.019887,0.049013,0.013636,0.007774,0.056948,0.567951,0.155642,0.061052,0.035963,0.006395,0.050235,0.027183,0.050712,0.121674,0.310812,0.191399,0.071155,0.056017,0.006119,0.090717,0.378368,0.107441,0.088115,0.047428,0.027518,0.001922,0.017804,0.431129,0.288457,0.066503,0.080720,0.122372,0.062428,0.066281,0.029334,0.039666
18,0.007161,0.056256,0.030441,0.056789,0.136256,0.348061,0.214337,0.079683,0.062730,0.097831,0.071327,0.104682,0.155049,0.018511,0.328048,0.180238,0.125989,0.090650,0.482798,0.323027,0.074473,0.090394,0.137038,0.069910,0.074224,0.032850,0.044419,0.176883,0.022405,0.200905,0.134106,0.094600,0.068248,0.178560,0.162352,0.192697
19,0.096727,0.070522,0.103501,0.153299,0.018302,0.324345,0.178204,0.124566,0.089626,0.102678,0.141099,0.099840,0.091158,0.090018,0.212041,0.124881,0.067866,0.223502,0.174887,0.022152,0.198637,0.132592,0.093533,0.067477,0.176545,0.160520,0.190522,0.054312,0.052092,0.049678,0.033547,0.580774,0.249438,0.120847,0.025051,0.003768
20,0.094354,0.129660,0.091745,0.083767,0.082720,0.194850,0.114757,0.062363,0.205382,0.018099,0.014076,0.036169,0.065898,0.050994,0.018047,0.011045,0.036019,0.025436,0.049909,0.047869,0.045651,0.030827,0.533689,0.229215,0.111049,0.023020,0.003462,0.000000,0.007082,0.005611,0.019871,0.419709,0.553903,0.020481,0.015578,0.038428
21,0.019451,0.015127,0.038870,0.070819,0.054802,0.019395,0.011869,0.038709,0.027336,0.221933,0.042047,0.064758,0.040384,0.074189,0.055119,0.001345,0.010660,0.157471,0.000000,0.007611,0.006030,0.021355,0.451053,0.595270,0.022010,0.016742,0.041298,0.143534,0.018900,0.013109,0.004978,0.301040,0.453827,0.031272,0.076698,0.106694
22,0.427053,0.000700,0.007126,0.009826,0.014256,0.058985,0.075544,0.014747,0.429641,0.016648,0.021204,0.048406,0.050218,0.112327,0.008478,0.013702,0.046391,0.011080,0.429141,0.011603,0.006892,0.034647,0.049408,0.127886,0.051777,0.037035,0.484539,0.056884,0.317224,0.196132,0.072739,0.028031,0.005944,0.067597,0.050932,0.061271
23,0.024141,0.030748,0.070193,0.072820,0.162884,0.012294,0.019870,0.067271,0.016068,0.010092,0.149631,0.624092,0.177216,0.145340,0.078229,0.045389,0.003170,0.029366,0.082487,0.460003,0.284410,0.105479,0.040648,0.008619,0.098021,0.073856,0.088849,0.157212,0.275064,0.113438,0.133716,0.071213,0.009204,0.029403,0.010944,0.102218
24,0.007754,0.114969,0.479519,0.136164,0.111671,0.060107,0.034875,0.002436,0.022564,0.546386,0.365572,0.084281,0.102300,0.155087,0.079117,0.084000,0.037176,0.050270,0.120793,0.211344,0.087160,0.102740,0.054717,0.007072,0.022592,0.008408,0.078539,0.230896,0.181913,0.191651,0.132832,0.017119,0.014030,0.016475,0.006581,0.024817
25,0.480771,0.321671,0.074160,0.090015,0.136463,0.069616,0.073912,0.032712,0.044233,0.176141,0.022311,0.200061,0.133543,0.094203,0.067961,0.177810,0.161671,0.191888,0.203168,0.160067,0.168636,0.116880,0.015063,0.012345,0.014497,0.005790,0.021836,0.435743,0.230930,0.123320,0.047143,0.015628,0.077755,0.104110,0.095811,0.159183
26,0.177899,0.022534,0.202059,0.134876,0.095144,0.068640,0.179586,0.163285,0.193804,0.055248,0.052989,0.050534,0.034125,0.590778,0.253735,0.122928,0.025482,0.003833,0.440094,0.233236,0.124551,0.047614,0.015784,0.078531,0.105149,0.096767,0.160772,0.079407,0.031944,0.007869,0.004845,0.004302,0.001938,0.003091,0.091858,0.159398
27,0.053268,0.051091,0.048724,0.032902,0.569615,0.244645,0.118525,0.024569,0.003695,0.000000,0.007559,0.005989,0.021209,0.447962,0.591191,0.021859,0.016627,0.041015,0.076563,0.030800,0.007587,0.004671,0.004148,0.001869,0.002980,0.088568,0.153688,0.000401,0.001440,0.003310,0.001317,0.003083,0.002226,0.022520,0.001079,0.006347
28,0.000000,0.006945,0.005503,0.019488,0.411622,0.543231,0.020086,0.015278,0.037687,0.130987,0.017248,0.011963,0.004543,0.274723,0.414154,0.028538,0.069993,0.097366,0.000368,0.001323,0.003041,0.001210,0.002833,0.002045,0.020693,0.000992,0.005832,0.277961,0.001875,0.003872,0.010814,0.091280,0.158432,0.002391,0.080131,0.367964
29,0.385557,0.010425,0.006192,0.031128,0.044390,0.114898,0.046518,0.033273,0.435329,0.051107,0.285006,0.176213,0.065352,0.025184,0.005340,0.060732,0.045759,0.055049,0.192881,0.023694,0.062359,0.066954,0.064699,0.089423,0.064781,0.086828,0.564632,0.190030,0.121868,0.041590,0.041921,0.016732,0.041258,0.109818,0.087757,0.220408
